crime,number,location,BEAT,neighborhood,npu,lat,long,type,road,neighbourhood_lookup,county,postcode,ZONE,crimeid_x,dateid,neighborhoodid,npuid,neighbourhood_lookupid,locationid,BEATid,ZONEid,day,month,quarter,year,count_crime_type
AUTO THEFT,103032241,232 FORSYTH ST SW,512,Downtown,M,33.74852,-84.39636,amenity,Forsyth Street Southwest,South Downtown,Fulton County,30303,5,1,2,5,3,41,81,40,4,30,10,4,2010,1
LARCENY-FROM VEHICLE,103032340,BROAD ST NW / MARIETTA ST NW,508,Downtown,M,33.75492,-84.39054,house_number,Broad Street Northwest,Five Points,Fulton County,30303,5,2,2,5,3,9,82,9,4,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030033,840 MARIETTA ST NW,504,Marietta Street Artery,E,33.77522,-84.40691,building,Marietta Street Northwest,Bellwood,Fulton County,30318,5,2,2,42,11,33,83,45,4,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030182,MARIETTA ST NW / BANKHEAD AVE NW,504,Marietta Street Artery,E,33.77363,-84.40468,house_number,Bankhead Avenue Northwest,Bellwood,Fulton County,30318,5,2,2,42,11,33,84,45,4,30,10,4,2010,1
AGG ASSAULT,103030304,1086 PIEDMONT,503,Midtown,E,33.78451,-84.37889,amenity,Piedmont Avenue Northeast,Midtown,Fulton County,30305,5,5,2,25,11,24,85,27,4,30,10,4,2010,1
AGG ASSAULT,103030360,UNIVERSITY AVE SW / I-75-85 SB EXPY SW,302,Pittsburgh,V,33.72201,-84.39509,road,James Wendell George Parkway,Pittsburgh,Fulton County,30315,3,5,2,31,8,31,86,33,2,30,10,4,2010,1
ROBBERY-RESIDENCE,103030387,1829 CAMPBELLTON RD SW,408,Venetian Hills,S,33.71,-84.44863,house_number,Campbellton Road Southwest,Adams Park,Fulton County,30311,4,10,2,43,21,4,87,46,1,30,10,4,2010,1
BURGLARY-RESIDENCE,103030473,978 PARSONS ST SW,104,Ashview Heights,T,33.75092,-84.4196,house_number,Parsons Street Southwest,Atlanta University Center,Fulton County,30314,1,7,2,44,1,15,88,47,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030594,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164,man_made,Peachtree Street,Brookwood,Fulton County,30363,5,2,2,25,11,13,89,43,4,30,10,4,2010,1
AUTO THEFT,103030616,3815 MARTIN L KING JR DR NW,114,Old Gordon,H,33.76918,-84.51471,house_number,Martin Luther King Junior Drive Southwest,Normandy Forest,Fulton County,30331,1,1,2,45,18,42,90,38,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030631,829 HOLLYWOOD RD NW,110,Grove Park,J,33.77772,-84.45133,shop,Hollywood Road Northwest,Grove Park,Fulton County,30318,1,2,2,26,6,43,91,28,5,30,10,4,2010,1
AUTO THEFT,103030698,429 CALHOUN ST NW,501,Home Park,E,33.78295,-84.401,house_number,Calhoun Street Northwest,Home Park,Fulton County,30318,5,1,2,46,11,44,92,48,4,30,10,4,2010,1
BURGLARY-RESIDENCE,103030733,373 ADELLE ST SE,307,Lakewood Heights,Y,33.70043,-84.37645,house_number,Adelle Street Southeast,Lakewood Heights,Fulton County,30315,3,7,2,33,12,32,93,34,2,30,10,4,2010,1
AGG ASSAULT,103030772,1220 GUN CLUB RD NW,110,Almond Park,G,33.78752,-84.45789,house_number,Gun Club Road Northwest,West Highland,Fulton County,30318,1,5,2,47,22,25,94,28,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030778,1217 GRACEWOOD AVE SE,612,East Atlanta,W,33.73272,-84.34776,house_number,Gracewood Avenue Southeast,Brownwood,DeKalb County,30316,6,2,2,24,9,35,95,24,3,30,10,4,2010,1
AUTO THEFT,103030847,1591 JONESBORO RD SE,305,South Atlanta,Y,33.70911,-84.38139,house_number,Jonesboro Road Southeast,Lakewood Heights,Fulton County,30315,3,1,2,48,12,32,96,16,2,30,10,4,2010,1
AUTO THEFT,103030855,1150 ASTOR AVE SW,306,Sylvan Hills,X,33.70137,-84.42678,house_number,Astor Avenue Southwest,Forrest Park,Fulton County,30310,3,1,2,39,2,45,97,42,2,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030860,180 JACKSON ST NE,604,Sweet Auburn,M,33.75905,-84.37546,building,Jackson Street Northeast,Sweet Auburn,Fulton County,30312,6,2,2,49,3,26,98,3,3,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030916,HARRIS ST NE / COURTLAND ST NE,509,Downtown,M,33.76094,-84.38418,amenity,John Portman Boulevard Northeast,Hotel District,Fulton County,30303,5,2,2,5,3,5,30,5,4,30,10,4,2010,1
AUTO THEFT,103030917,41 25TH ST NW,207,Brookwood,E,33.80108,-84.39488,house_number,25th Street Northwest,Brookwood,Fulton County,30309,2,1,2,12,11,13,99,13,6,30,10,4,2010,1
LARCENY-FROM VEHICLE,103030941,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042,house_number,Northside Drive Northwest,Vine City,Fulton County,30318,1,2,2,37,17,46,100,39,5,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031052,376 ROY ST SW,302,Pittsburgh,V,33.72404,-84.40041,house_number,Roy Street Southwest,Pittsburgh,Fulton County,30310,3,2,2,31,8,31,101,33,2,30,10,4,2010,1
LARCENY-FROM VEHICLE,103031064,100 LUCKIE ST NW,508,Downtown,M,33.7573,-84.38992,house_number,Luckie Street Northwest,Five Points,Fulton County,30303,5,2,2,5,3,9,102,9,4,30,10,4,2010,1
LARCENY-NON VEHICLE,103031082,264 19TH ST NW,501,Atlantic Station,E,33.79321,-84.39692,amenity,19th Street Northwest,Atlantic Station,Fulton County,30363,5,3,2,50,11,47,103,48,4,30,10,4,2010,1
LARCENY-FROM VEHICLE,103022782,1338  PEACHTREE  ST,502,Midtown,E,33.79112,-84.38534,amenity,Peachtree Street Northeast,Ansley Park,Fulton County,30308,5,2,2,25,11,48,104,43,4,30,10,4,2010,1
BURGLARY-RESIDENCE,103012699,711 WILSON RD NW,205,Springlake,C,33.81553,-84.41234,house_number,Wilson Road Northwest,Ellsworth Park,Fulton County,30318,2,7,3,38,19,37,105,41,6,29,10,4,2010,1
AGG ASSAULT,103020069,JOSEPH E LOWERY BLVD NW / DONALD LEE HOLLOWELL PKWY NW,103,Bankhead,K,33.77303,-84.41737,road,Joseph E. Lowery Boulevard,Bellwood,Fulton County,30318,1,5,3,23,14,33,106,39,5,29,10,4,2010,1
AUTO THEFT,103020373,972 FERN AVE SE,304,Peoplestown,V,33.72798,-84.38493,house_number,Fern Avenue Southeast,Peoplestown,Fulton County,30315,3,1,3,34,8,11,107,36,2,29,10,4,2010,1
AUTO THEFT,103020506,183 MOUNT ZION RD SE,312,Glenrose Heights,Z,33.67268,-84.38507,house_number,Mount Zion Road Southeast,Orchard Knob,Fulton County,30354,3,1,3,51,20,49,108,49,2,29,10,4,2010,1
AUTO THEFT,103020531,2637 OLD HAPEVILLE RD SW,310,Browns Mill Park,Z,33.68294,-84.39417,house_number,Old Hapeville Road Southwest,Hammond Park,Fulton County,30315,3,1,3,40,20,50,109,44,2,29,10,4,2010,1
AUTO THEFT,103020551,1720 MARTIN L KING JR DR SW,104,Mozley Park,K,33.75083,-84.44341,house_number,Martin Luther King Jr Drive Southwest,Battle Hill Haven,Fulton County,30314,1,1,3,52,14,51,110,47,5,29,10,4,2010,1
LARCENY-FROM VEHICLE,103020638,370 NORTHSIDE DR NW,103,English Avenue,L,33.76507,-84.4042,house_number,Northside Drive Northwest,Vine City,Fulton County,30318,1,2,3,37,17,46,100,39,5,29,10,4,2010,1
LARCENY-FROM VEHICLE,103020723,222 14TH ST NE,502,Midtown,E,33.78657,-84.38041,building,14th Street Northeast,Midtown,Fulton County,30309,5,2,3,25,11,24,111,43,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103020741,817 W PEACHTREE ST NE,505,Midtown,E,33.77696,-84.38697,tourism,West Peachtree Street Northwest,Midtown,Fulton County,30308,5,2,3,25,11,24,112,26,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103020832,705 BROOKLINE ST SW,301,Adair Park,V,33.72736,-84.41074,house_number,Brookline Street Southwest,Pittsburgh,Fulton County,30310,3,2,3,53,8,31,113,2,2,29,10,4,2010,1
AUTO THEFT,103020845,483 MONUMENT AVE SE,612,East Atlanta,W,33.74103,-84.34159,house_number,Monument Avenue Southeast,East Atlanta Village,DeKalb County,30316,6,1,3,24,9,23,114,24,3,29,10,4,2010,1
AUTO THEFT,103020846,1092 SHELBY PL SE,607,Woodland Hills,W,33.72371,-84.35181,house_number,Shelby Place Southeast,Ormewood,Fulton County,30316,6,1,3,54,9,52,115,50,3,29,10,4,2010,1
LARCENY-NON VEHICLE,103020888,590 CASCADE AVE SW,402,West End,T,33.73812,-84.43276,shop,Oglethorpe Avenue Southwest,Westview,Fulton County,30310,4,3,3,1,1,18,53,35,1,29,10,4,2010,1
BURGLARY-RESIDENCE,103020985,2007 MOREHOUSE DR NW,108,Dixie Hills,J,33.7613,-84.45299,house_number,Morehouse Drive Northwest,Battle Hill Haven,Fulton County,30314,1,7,3,21,6,51,116,22,5,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021027,727 WYLIE ST SE,606,Cabbagetown,N,33.75204,-84.36355,house_number,Estoria Street Southeast,Inman Park,Fulton County,30316,6,2,3,55,5,3,117,51,3,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021037,13TH / CRESENT AVE,503,Midtown,E,33.78562,-84.38422,house_number,Crescent Avenue Northeast,Midtown,Fulton County,30309,5,2,3,25,11,24,118,27,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021067,831 MARTIN ST SE,304,Summerhill,V,33.73196,-84.38458,house_number,Martin Street Southeast,Peoplestown,Fulton County,30315,3,2,3,56,8,11,119,36,2,29,10,4,2010,1
AUTO THEFT,103021204,364 NORTHSIDE DR NW,103,English Avenue,L,33.7647,-84.40392,house_number,Northside Drive Northwest,Vine City,Fulton County,30314,1,1,3,37,17,46,120,39,5,29,10,4,2010,1
AUTO THEFT,103021256,I-75-85 NB EXPY SW / UNIVERSITY AVE SW,302,Pittsburgh,V,33.72212,-84.3946,road,University Avenue,Pittsburgh,Fulton County,30310,3,1,3,31,8,31,121,33,2,29,10,4,2010,1
LARCENY-NON VEHICLE,103021265,99 ORMOND ST SE,304,Peoplestown,V,33.73146,-84.38474,house_number,Ormond Street Southeast,Peoplestown,Fulton County,30315,3,3,3,34,8,11,122,36,2,29,10,4,2010,1
LARCENY-NON VEHICLE,103021275,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822,house_number,Lenox Road,The Hill,Fulton County,30324,2,3,3,20,7,20,123,21,6,29,10,4,2010,1
BURGLARY-RESIDENCE,103021281,503 COLLIER RIDGE DR ,112,Collier Heights,I,33.76887,-84.4763,house_number,Collier Ridge Drive Northwest,Center Hill,Fulton County,30318,1,7,3,57,13,7,124,52,5,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021289,MARTIN L KING JR DR SW / CENTRAL AVE SW,511,Downtown,M,33.75079,-84.38987,road,Central Avenue Southwest,South Downtown,Fulton County,30315,5,2,3,5,3,41,125,25,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021335,DONALD LEE HOLLOWELL PKWY NW / JAMES JACKSON PKWY NW,113,Center Hill,J,33.77632,-84.47375,house_number,Donald Lee Hollowell Parkway Northwest,Center Hill,Fulton County,30318,1,2,3,7,6,7,126,53,5,29,10,4,2010,1
BURGLARY-RESIDENCE,103021347,340 BROMACK DR SE,310,Lakewood,Z,33.68812,-84.37775,house_number,Bromack Drive Southeast,Browns Mill,Fulton County,30315,3,7,3,58,20,39,127,44,2,29,10,4,2010,1
BURGLARY-RESIDENCE,103021411,20 WALTHALL ST NE,606,Reynoldstown,N,33.75427,-84.35196,house_number,Walthall Street Northeast,Reynoldstown,Fulton County,30307,6,7,3,59,5,53,128,51,3,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021445,1333 WHITE STREET,402,West End,T,33.73805,-84.43028,house_number,White Street Southwest,West End,Fulton County,30310,4,2,3,1,1,1,129,35,1,29,10,4,2010,1
LARCENY-NON VEHICLE,103021455,2415 CAMELLIA LN NE,211,Lindbergh/Morosgo,B,33.82171,-84.37117,building,Abbey Rd NE,Lindbergh,Fulton County,30324,2,3,3,8,7,8,130,8,6,29,10,4,2010,1
LARCENY-NON VEHICLE,103021457,1801 HOWELL MILL RD NW,204,Berkeley Park,D,33.80388,-84.41278,shop,Howell Mill Road Northwest,Woodward,Fulton County,30363,2,3,3,27,15,27,41,29,6,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021478,973 DELAWARE AVE SE,607,Ormewood Park,W,33.73094,-84.35572,house_number,Delaware Avenue Southeast,Ormewood,Fulton County,30316,6,2,3,60,9,52,131,50,3,29,10,4,2010,1
BURGLARY-RESIDENCE,103021503,27 KIRKWOOD RD NE,610,Kirkwood,O,33.75218,-84.32144,house_number,Dunwoody Street Northeast,Kirkwood,DeKalb County,30317,6,7,3,61,10,54,132,54,3,29,10,4,2010,1
LARCENY-NON VEHICLE,103021526,2155 MEADOR AVE SE,310,Swallow Circle/Baywood,Z,33.69536,-84.38075,house_number,Meador Avenue Southeast,Lakewood Heights,Fulton County,30315,3,3,3,62,20,32,133,44,2,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021556,214 JOHN WESLEY DOBBS AVE NE,510,Downtown,M,33.75741,-84.38075,amenity,Piedmont Avenue Northeast,Hotel District,Fulton County,30303,5,2,3,5,3,5,134,30,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021573,MARTIN L KING JR DR SW / FORSYTH ST SW,511,Downtown,M,33.75286,-84.3935,road,Martin Luther King Junior Drive Southwest,South Downtown,Fulton County,30303,5,2,3,5,3,41,135,25,4,29,10,4,2010,1
LARCENY-NON VEHICLE,103021612,141 PRYOR ST SW,512,Downtown,M,33.75093,-84.39146,road,Pryor Street Southwest,South Downtown,Fulton County,30315,5,3,3,5,3,41,136,40,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021651,1910 VENETIAN DR SW,408,Venetian Hills,S,33.71439,-84.45057,house_number,Venetian Drive Southwest,Adams Park,Fulton County,30311,4,2,3,43,21,4,137,46,1,29,10,4,2010,1
BURGLARY-RESIDENCE,103021741,917 OAKHILL AVE SW,301,Adair Park,V,33.72988,-84.40947,house_number,Oakhill Avenue Southwest,Pittsburgh,Fulton County,30310,3,7,3,53,8,31,138,2,2,29,10,4,2010,1
LARCENY-NON VEHICLE,103021832,12 BROAD ST SW ;CVS,511,Downtown,M,33.7532,-84.39201,amenity,Alabama Street Southwest,Five Points,Fulton County,30303,5,3,3,5,3,9,139,25,4,29,10,4,2010,1
ROBBERY-PEDESTRIAN,103021861,BROAD ST SW / MARTIN L KING JR DR SW,512,Downtown,M,33.75243,-84.3928,house_number,Martin Luther King Junior Drive Southwest,South Downtown,Fulton County,30303,5,4,3,5,3,41,140,40,4,29,10,4,2010,1
ROBBERY-PEDESTRIAN,103021886,391 17TH ST NW,501,Atlantic Station,E,33.79109,-84.40088,building,17th Street Northwest,Atlantic Station,Fulton County,30363,5,4,3,50,11,47,141,48,4,29,10,4,2010,1
ROBBERY-COMMERCIAL,103021891,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915,amenity,Moreland Avenue Northeast,Little Five Points,Fulton County,30306,6,11,3,6,5,6,142,6,3,29,10,4,2010,1
AUTO THEFT,103021918,JONESBORO RD SE / I-285 EB EXPY SE,313,South River Gardens,Z,33.65199,-84.36701,road,Jonesboro Road Southeast,Doral Park,Fulton County,30354,3,1,3,63,20,55,143,55,2,29,10,4,2010,1
LARCENY-FROM VEHICLE,103021969,1660 PEACHTREE ST NW,502,Midtown,E,33.79874,-84.39164,man_made,Peachtree Street,Brookwood,Fulton County,30363,5,2,3,25,11,13,89,43,4,29,10,4,2010,1
LARCENY-NON VEHICLE,103022029,1097 HOLLYWOOD RD,110,Almond Park,G,33.78526,-84.46082,house_number,Hollywood Road Northwest,Grove Park,Fulton County,30318,1,3,3,47,22,43,144,28,5,29,10,4,2010,1
BURGLARY-RESIDENCE,103022071,225 WOODWARD AVE SE,605,Grant Park,W,33.74542,-84.38026,house_number,Woodward Avenue Southeast,Capitol Gateway,Fulton County,30312,6,7,3,10,9,56,145,11,3,29,10,4,2010,1
LARCENY-NON VEHICLE,103022075,850 OAK ST,401,West End,T,33.74057,-84.4168,office,Oak Street Southwest,West End,Fulton County,30310,4,3,3,1,1,1,1,1,1,29,10,4,2010,1
LARCENY-NON VEHICLE,103022127,737 PONCE DE LEON AVE NE,602,Poncey-Highland,N,33.77348,-84.36289,house_number,Ponce de Leon Avenue Northeast,Linwood,Fulton County,30306,6,3,3,64,5,30,146,6,3,29,10,4,2010,1
LARCENY-NON VEHICLE,103022176,149 26TH ST NW,207,Brookwood,E,33.80253,-84.39776,house_number,Golden Gate Drive Northwest,Brookwood,Fulton County,30309,2,3,3,12,11,13,15,13,6,29,10,4,2010,1
LARCENY-NON VEHICLE,103022218,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813,shop,Hardee Street Northeast,Edgewood,DeKalb County,30307,6,3,3,11,10,12,147,12,3,29,10,4,2010,1
AUTO THEFT,103022318,TIGER FLOWERS DR NW / WHITAKER CIR NW,108,West Lake,J,33.75977,-84.44524,house_number,Tiger Flowers Drive Northwest,Battle Hill Haven,Fulton County,30314,1,1,3,65,6,51,148,22,5,29,10,4,2010,1
ROBBERY-PEDESTRIAN,103022389,50 UPPER ALABAMA,511,Downtown,M,33.75194,-84.38964,historic,Kimball Way Southeast,Five Points,Fulton County,30303,5,4,3,5,3,9,39,25,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103022426,102 BROAD ST SW,512,Downtown,M,33.75178,-84.39318,amenity,Peachtree Street Southwest,South Downtown,Fulton County,30303,5,2,3,5,3,41,149,40,4,29,10,4,2010,1
AGG ASSAULT,103022445,1009 WASHINGTON ST SW,304,Peoplestown,V,33.72723,-84.39109,house_number,Washington Street Southwest,Peoplestown,Fulton County,30315,3,5,3,34,8,11,150,36,2,29,10,4,2010,1
AGG ASSAULT,103022457,585 MCWILLIAMS RD SE,310,Browns Mill Park,Z,33.68869,-84.36881,road,McWilliams Road,Cornell,Fulton County,30315,3,5,3,40,20,57,151,44,2,29,10,4,2010,1
LARCENY-FROM VEHICLE,103022665,1000 MARIETTA ST NW,504,Marietta Street Artery,E,33.77907,-84.4105,shop,Marietta Street,Howell Station,Fulton County,30318,5,2,3,42,11,58,152,45,4,29,10,4,2010,1
LARCENY-FROM VEHICLE,103022702,45 WHITEHOUSE DR SW,104,Ashview Heights,T,33.75382,-84.42109,amenity,Martin Luther King Jr Drive Southwest,Atlanta University Center,Fulton County,30314,1,2,3,44,1,15,153,47,5,29,10,4,2010,1
AGG ASSAULT,102970294,255 TRINITY AVE,512,Downtown,M,33.75082,-84.39623,house_number,Trinity Avenue Southwest,South Downtown,Fulton County,30303,5,5,3,5,3,41,154,40,4,29,10,4,2010,1
BURGLARY-RESIDENCE,103010902,432 IRA ST SW,303,Mechanicsville,V,33.74277,-84.39973,house_number,Ira Street Southwest,Mechanicsville,Fulton County,30312,3,7,4,9,8,10,155,10,2,28,10,4,2010,1
BURGLARY-RESIDENCE,103010920,2798 PEEK RD NW,112,Collier Heights,I,33.77743,-84.47815,house_number,West Peek Road Northwest,Collier Heights,Fulton County,30318,1,7,4,57,13,59,156,52,5,28,10,4,2010,1
LARCENY-FROM VEHICLE,103010944,240 N HIGHLAND AVE NE,602,Inman Park,N,33.76234,-84.35933,building,North Highland Avenue Northeast,Inman Park,Fulton County,30307,6,2,4,6,5,3,157,6,3,28,10,4,2010,1
BURGLARY-RESIDENCE,103010953,166 SUWANEE AVENUE NW ,108,Dixie Hills,J,33.75884,-84.46533,house_number,Sewanee Avenue Northwest,Dixie Hills,Fulton County,30314,1,7,4,21,6,21,158,22,5,28,10,4,2010,1
LARCENY-NON VEHICLE,103010964,824 DONALD LEE HOLLOWELL PKWY NW,103,English Avenue,L,33.77282,-84.41423,house_number,Paines Avenue Northwest,English Ave.,Fulton County,30318,1,3,4,37,17,22,159,39,5,28,10,4,2010,1
BURGLARY-RESIDENCE,103010984,310 6TH ST NE,506,Midtown,E,33.77628,-84.37717,house_number,Argonne Avenue Northeast,Midtown,Fulton County,30308,5,7,4,25,11,24,160,56,4,28,10,4,2010,1
AGG ASSAULT,103011049,2084 BROWNS MILL RD SE,310,Lakewood,Z,33.69762,-84.37384,house_number,Browns Mill Road Southeast,Lakewood Heights,Fulton County,30315,3,5,4,58,20,32,161,44,2,28,10,4,2010,1
LARCENY-NON VEHICLE,103011051,445 CLEVELAND AVE SE,312,Rosedale Heights,Z,33.68013,-84.37757,house_number,Cleveland Avenue Southeast,Rosedale Heights,Fulton County,30354,3,3,4,66,20,60,162,49,2,28,10,4,2010,1
AUTO THEFT,103011054,3200 LENOX RD NE,210,Pine Hills,B,33.84221,-84.35822,house_number,Lenox Road,The Hill,Fulton County,30324,2,1,4,20,7,20,123,21,6,28,10,4,2010,1
BURGLARY-RESIDENCE,103011066,1585 LINDA WAY SW,404,Westview,T,33.73464,-84.43927,house_number,Linda Way Southwest,Westview,Fulton County,30310,4,7,4,32,1,18,163,19,1,28,10,4,2010,1
LARCENY-NON VEHICLE,103011084,190 MARIETTA ST NW,507,Downtown,M,33.75757,-84.39487,building,Marietta Street Northwest,Five Points,Fulton County,30303,5,3,4,5,3,9,164,14,4,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011162,794 DIXIE AVE NE,602,Inman Park,N,33.75677,-84.3617,house_number,Dixie Avenue Northeast,Inman Park,Fulton County,30307,6,2,4,6,5,3,165,6,3,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011169,15 PEACHTREE ST SW,511,Downtown,M,33.75369,-84.39043,road,Peachtree Street,Five Points,Fulton County,30303,5,2,4,5,3,9,166,25,4,28,10,4,2010,1
AUTO THEFT,103011170,3724 MARTIN L KING JR DR SW,407,Adamsville,H,33.76464,-84.5103,house_number,Martin Luther King Junior Drive Southwest,Normandy Forest,Fulton County,30331,4,1,4,67,18,42,167,57,1,28,10,4,2010,1
BURGLARY-RESIDENCE,103011191,1733 MELROSE DR. SW,306,Sylvan Hills,X,33.70747,-84.42086,house_number,Melrose Drive Southwest,Sylvan Hills,Fulton County,30310,3,7,4,39,2,38,168,42,2,28,10,4,2010,1
ROBBERY-PEDESTRIAN,103011225,942 HANK AARON DR,304,Peoplestown,V,33.72843,-84.38748,house_number,Dunning Street Southeast,Peoplestown,Fulton County,30315,3,4,4,34,8,11,169,36,2,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011256,739 WYLIE ST SE,606,Cabbagetown,N,33.75205,-84.36309,house_number,Wylie Street Southeast,Inman Park,Fulton County,30316,6,2,4,55,5,3,170,51,3,28,10,4,2010,1
AUTO THEFT,103011321,106 VANNOY ST SE,609,Edgewood,O,33.75073,-84.34623,house_number,Vannoy Street Southeast,Edgewood,DeKalb County,30317,6,1,4,11,10,12,171,12,3,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011333,2540 FORREST HILL DR,311,Hammond Park,X,33.681,-84.40011,house_number,Cleveland Avenue Southwest,Hammond Park,Fulton County,30315,3,2,4,68,2,50,172,58,2,28,10,4,2010,1
BURGLARY-RESIDENCE,103011362,1183 MOTON AVE SW,302,Pittsburgh,V,33.72261,-84.397,house_number,Moton Avenue Southwest,Pittsburgh,Fulton County,30315,3,7,4,31,8,31,173,33,2,28,10,4,2010,1
LARCENY-NON VEHICLE,103011385,1787 CAHOON ST SW,306,Sylvan Hills,X,33.70677,-84.41112,house_number,Cahoon Street Southwest,Sylvan Hills,Fulton County,30310,3,3,4,39,2,38,174,42,2,28,10,4,2010,1
AGG ASSAULT,103011443,730 BARNETT ST,601,Virginia Highland,F,33.77443,-84.35902,house_number,Barnett Street Northeast,Linwood,Fulton County,30306,6,5,4,69,16,30,175,32,3,28,10,4,2010,1
LARCENY-NON VEHICLE,103011509,464 MORELAND AVE NE,602,Inman Park,N,33.76686,-84.34915,amenity,Moreland Avenue Northeast,Little Five Points,Fulton County,30306,6,3,4,6,5,6,142,6,3,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011526,1560 METROPOLITAN PKWY SW,306,Sylvan Hills,X,33.71194,-84.40422,amenity,Metropolitan Parkway Southwest,Capitol View,Fulton County,30315,3,2,4,39,2,2,176,42,2,28,10,4,2010,1
LARCENY-NON VEHICLE,103011534,600 GREENSFERRY ,101,The Villages at Castleberry H,T,33.74662,-84.40755,house_number,Greensferry Avenue Southwest,Atlanta University Center,Fulton County,30314,1,3,4,14,1,15,18,15,5,28,10,4,2010,1
LARCENY-NON VEHICLE,103011608,1225 CAROLINE ST NE,609,Edgewood,O,33.75605,-84.34813,shop,Hardee Street Northeast,Edgewood,DeKalb County,30307,6,3,4,11,10,12,147,12,3,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011711,JOHN WESLEY DOBBS AVE NE / COURTLAND ST NE,510,Downtown,M,33.75712,-84.38424,amenity,Piedmont Avenue Northeast,Hotel District,Fulton County,30303,5,2,4,5,3,5,177,30,4,28,10,4,2010,1
LARCENY-NON VEHICLE,103011739,40 HARLAN RD SW,405,Harland Terrace,I,33.75338,-84.48085,house_number,Harlan Road Southwest,Stratford,Fulton County,30311,4,3,4,70,13,19,178,59,1,28,10,4,2010,1
BURGLARY-RESIDENCE,103011742,73 JOSEPH E LOWERY BLVD,104,Ashview Heights,T,33.75271,-84.41779,house_number,Beckwith Street Southwest,Atlanta University Center,Fulton County,30314,1,7,4,44,1,15,179,47,5,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011775,COCA COLA PL SE / BELL ST SE,510,Downtown,M,33.75279,-84.37984,house_number,Pratt Street Southeast,Sweet Auburn,Fulton County,30303,5,2,4,5,3,26,180,30,4,28,10,4,2010,1
LARCENY-FROM VEHICLE,103011801,1944 PIEDMONT CIR NE,212,Piedmont Heights,F,33.81165,-84.36787,house_number,Piedmont Circle Northeast,Mayfair,Fulton County,30324,2,2,4,71,16,61,181,60,6,28,10,4,2010,1
